Wavelength,B,G,R
360,0.9999996396719572,0.0,0.0
365,1.0,0.0,0.0
370,0.9999999999994922,1.6790596988515132e-12,1.0681441060106896e-12
375,1.0,0.0,0.0
380,1.0,0.0,0.0
385,1.0,0.0,0.0
390,1.0,0.0,0.0
395,1.0,0.0,0.0
400,1.0,0.0,0.0
405,1.0,0.0,0.0
410,1.0,0.0,0.0
415,1.0,0.0,0.0
420,1.0,0.0,0.0
425,1.0,0.0,0.0
430,1.0,0.0,0.0
435,0.9999999999990518,1.828665750772247e-13,7.206402484034006e-13
440,0.9977774324317712,0.0,0.0022225675690584353
445,0.9921475062823955,0.0,0.007852493719085894
450,0.9822511646529085,0.0,0.017748835346200018
455,0.9672367704831902,2.64999523788646e-13,0.03276322951714814
460,0.9432757086079296,0.005048531000256332,0.05167576038997282
465,0.9014837001847411,0.04666194371553281,0.05185435610086065
470,0.843044998046502,0.1179715376540371,0.0389834642991087
475,0.7702522636768003,0.20900170021703757,0.020746036105982784
480,0.6850688535583022,0.3097762063623024,0.005154940079417516
485,0.5890462990739684,0.4109537009266067,3.362525933080719e-13
490,0.4888123294553167,0.5111876705442837,0.0
495,0.3899900590282175,0.6100099409695502,0.0
500,0.2955928141345477,0.7044071858647613,0.0
505,0.20913397827329078,0.7908660217260098,0.0
510,0.13365136125563598,0.8663486387466917,1.0394722509718196e-12
515,0.07237981283066572,0.9276201871681589,5.305823193549255e-14
520,0.028371348313715346,0.9716286516858382,1.4840619851158736e-12
525,0.003650793342937864,0.9963492066579371,5.830702043442142e-13
530,1.2742873337610264e-13,0.9999999999996466,0.0
535,2.903596186327969e-13,0.999999999999934,0.0
540,3.135865076709176e-13,1.0,7.978056771734241e-13
545,2.0158463938675065e-13,1.0,1.0391274456629846e-12
550,0.0,0.9999999999985625,0.0
555,2.4326143550421216e-12,1.0,3.5525404399511646e-13
560,0.0020059894961640405,0.9979940105039433,0.0
565,0.01843927822665819,0.981560721770541,7.049349668772216e-13
570,0.03486499722511618,0.935114685237916,0.030020317540572147
575,0.04285089059377029,0.853437723272844,0.10371138612832008
580,0.04419575750688187,0.7459662676663312,0.20983797482679545
585,0.04068534452188435,0.6224071141301224,0.3369075413453718
590,0.03398110558703622,0.49275345270924364,0.47326544170429
595,0.025889946146633598,0.3658761463019061,0.6082339075514952
600,0.017747403050785183,0.24952666249268032,0.7327259344569572
605,0.010705253260442332,0.14999801278504626,0.8392967339549527
610,0.004857367334676409,0.07372945271552096,0.9214131799522043
615,0.0013289649538158034,0.02334885898440758,0.9753221760627141
620,1.6009017772841474e-12,0.0,0.9999999999994686
625,1.8308722695650562e-13,6.296877944548507e-13,0.9999999999994151
630,0.0,3.3676414052910914e-13,0.9999999999999795
635,4.179093647845536e-13,0.0,0.9999999999996664
640,5.664854959854974e-13,0.0,0.9999999999972932
645,5.202629556580712e-13,0.0,0.9999999999988034
650,8.123376657774227e-13,0.0,0.9999999999996777
655,1.8616574753276436e-13,0.0,1.0
660,0.0,0.0,1.0
665,0.0,0.0,1.0
670,0.0,0.0,1.0
675,0.0,0.0,1.0
680,0.0,0.0,1.0
685,0.0,0.0,1.0
690,0.0,0.0,1.0
695,0.0,0.0,1.0
700,0.0,0.0,1.0
705,0.0,0.0,1.0
710,0.0,0.0,1.0
715,0.0,0.0,1.0
720,0.0,0.0,1.0
725,0.0,0.0,1.0
730,0.0,0.0,1.0
735,0.0,0.0,1.0
740,0.0,0.0,1.0
745,0.0,0.0,1.0
750,0.0,0.0,1.0
755,0.0,0.0,1.0
760,0.0,0.0,1.0
765,0.0,0.0,1.0
770,0.0,0.0,1.0
775,0.0,0.0,1.0
780,6.608730656709114e-05,0.0,0.9999339126935106
