Wavelength,Sensitivity
350,0
355,0.04
360,0.116
365,0.17
370,0.226
375,0.278
380,0.335
385,0.393
390,0.43
395,0.471
400,0.513
405,0.547
410,0.58
415,0.61
420,0.637
425,0.656
430,0.676
435,0.696
440,0.697
445,0.697
450,0.693
455,0.684
460,0.669
465,0.649
470,0.621
475,0.585
480,0.542
485,0.494
490,0.459
495,0.433
500,0.414
505,0.399
510,0.397
515,0.398
520,0.402
525,0.406
530,0.411
535,0.416
540,0.421
545,0.426
550,0.423
555,0.415
560,0.402
565,0.381
570,0.351
575,0.299
580,0.246
585,0.192
590,0.086
595,0
600,0
605,0
610,0
615,0
620,0
625,0
630,0
635,0
640,0
645,0
650,0
655,0
660,0
665,0
670,0
675,0
680,0
685,0
690,0
695,0
700,0
705,0
710,0
715,0
720,0
725,0
730,0
735,0
740,0
745,0
750,0
755,0
760,0
765,0
770,0
775,0
780,0
